,Economic_Stability_Index,GDP_Growth,Poverty_Rate,Inflation,Unemployment,Income,Consumption,Exchange_Rate,Reserves,Investment,Interest_Rate
Economic_Stability_Index,1.0,0.3054450568620542,0.9390321042942226,0.6032379962554795,-0.7852821454633461,0.9278661500657861,0.9305632330778463,0.9300525457189848,0.7494971643942089,0.8420853818168579,0.8629057104370308
GDP_Growth,0.3054450568620542,1.0,0.372054993053317,0.010440834288025126,-0.3126303197983717,0.23175012805614387,0.3090581654735535,0.22107331232243277,0.366628698275114,0.3033827065263452,0.1928764874070415
Poverty_Rate,0.9390321042942226,0.372054993053317,1.0,0.4943809666043191,-0.7740335858472736,0.9152096255578744,0.8763037048366598,0.7773763404517867,0.7261247137397004,0.786579237365658,0.6886063705223027
Inflation,0.6032379962554795,0.010440834288025126,0.4943809666043191,1.0,-0.2499760966273572,0.44297384022444014,0.3973566452093209,0.5141432434070349,0.21546388890903662,0.4106818764230713,0.733210052359097
Unemployment,-0.7852821454633461,-0.3126303197983717,-0.7740335858472736,-0.2499760966273572,1.0,-0.9011585047771421,-0.7792724357642549,-0.7448172689606387,-0.8831137074323305,-0.8022015844567536,-0.5427011329605375
Income,0.9278661500657861,0.23175012805614387,0.9152096255578744,0.44297384022444014,-0.9011585047771421,1.0,0.9188541800609965,0.8499771739636515,0.7397674174702814,0.8490594976880331,0.6773284211663304
Consumption,0.9305632330778463,0.3090581654735535,0.8763037048366598,0.3973566452093209,-0.7792724357642549,0.9188541800609965,1.0,0.9099731745608244,0.6849185799857231,0.7713252542282543,0.7134437630430994
Exchange_Rate,0.9300525457189848,0.22107331232243277,0.7773763404517867,0.5141432434070349,-0.7448172689606387,0.8499771739636515,0.9099731745608244,1.0,0.7136401889431402,0.7416531971679208,0.8777033063530394
Reserves,0.7494971643942089,0.366628698275114,0.7261247137397004,0.21546388890903662,-0.8831137074323305,0.7397674174702814,0.6849185799857231,0.7136401889431402,1.0,0.6966894792089837,0.5809935926751826
Investment,0.8420853818168579,0.3033827065263452,0.786579237365658,0.4106818764230713,-0.8022015844567536,0.8490594976880331,0.7713252542282543,0.7416531971679208,0.6966894792089837,1.0,0.641846104422341
Interest_Rate,0.8629057104370308,0.1928764874070415,0.6886063705223027,0.733210052359097,-0.5427011329605375,0.6773284211663304,0.7134437630430994,0.8777033063530394,0.5809935926751826,0.641846104422341,1.0
