Feature,Importance
Consumption_lag2,0.07410897283367246
Poverty_Rate,0.055332741448474464
Investment,0.052974355224766095
GDP_Growth,0.04831942279215369
Unemployment_lag1,0.041512444923431764
Inflation_lag2,0.04114261931666254
Exchange_Rate_lag1,0.0407653551665129
Consumption,0.03803771909432214
Income,0.03610101012679428
Exchange_Rate,0.034269826363618236
GDP_Growth_lag1,0.03371863596454057
Reserves_lag1,0.03134705461447262
Inflation_lag1,0.028600120091218505
Investment_lag1,0.028562084986444015
Unemployment,0.027974333256444814
Income_lag2,0.026982716680936495
Poverty_Rate_lag1,0.026802346212318452
Economic_Stability_Index_lag2,0.026788018815144997
Consumption_lag1,0.026557126225215735
Exchange_Rate_lag2,0.02646899672473681
Inflation,0.026015091752125644
Investment_lag2,0.023965481259716852
GDP_Growth_lag2,0.023567215555573534
Economic_Stability_Index,0.022839260083759517
Unemployment_lag2,0.022413201885533418
Reserves,0.021383237151240672
Reserves_lag2,0.02073727915174438
Economic_Stability_Index_lag1,0.018400921015983684
Income_lag1,0.01701997319258224
Poverty_Rate_lag2,0.016044942620586776
Interest_Rate,0.015615181454380782
Interest_Rate_lag2,0.015435207624728109
Interest_Rate_lag1,0.01019710639016286
