Date,Economic_Stability_Index,GDP_Growth,Poverty_Rate,Inflation,Unemployment,Income,Consumption,Exchange_Rate,Reserves,Investment,Interest_Rate,Shock
2010-06-30,0.1426565780173633,5.2,25.2,11.07,9.0,55581.6523143561,930.02,5.62,34.99166667,52.8,8.25,0.0
2010-09-30,0.1478818648498831,5.05,25.2,10.9,8.9,55581.6523143561,1003.87,5.68,35.44633333,54.1,8.25,0.0
2010-12-31,0.1452397987662868,5.0,25.2,10.43,8.9,55581.6523143561,965.36,5.79,35.71566667,55.2,8.25,0.0
2011-03-31,0.1751283428060731,-4.33,25.3375,10.93,11.6,55762.2871345913,932.21,5.96,32.81133333,42.1,8.25,1.0
2011-06-30,0.172522215045042,0.4,25.475,11.8,11.6,55942.9219548265,928.64,5.97,27.272,43.5,8.25,0.0
2011-09-30,0.1855996068187923,1.2,25.6125,9.0,11.9,56123.5567750617,1078.62,5.98,24.90766667,45.8,8.25,0.0
2011-12-31,0.1867848185777319,1.8,25.75,8.57,12.4,56304.1915952969,1065.15,6.01,18.409,47.2,9.25,1.0
2012-03-31,0.1813324119702712,1.9,25.8875,8.93,12.6,56097.25266579697,1040.18,6.03,15.73033333,44.3,9.25,0.0
2012-06-30,0.172229918333415,2.0,26.025,5.37,12.6,55890.31373629704,998.2,6.05,15.42066667,46.1,9.25,0.0
2012-09-30,0.1802178122913556,2.1,26.1625,6.36,12.5,55683.37480679712,1114.61,6.09,14.864,48.0,9.25,0.0
2012-12-31,0.1887543928343631,2.2,26.3,5.2,13.0,55476.4358772972,1115.09,6.15,15.17833333,48.3,9.25,0.0
2013-03-31,0.1908538338859638,2.1,26.425,7.35,13.2,55561.96165092332,1031.82,6.7,13.515,45.1,9.75,0.0
2013-06-30,0.2011498794597493,1.5,26.55,8.68,13.3,55647.48742454945,1015.35,7.01,15.13366667,46.8,9.75,0.0
2013-09-30,0.2258119883396269,2.1,26.675,10.01,13.4,55733.01319817558,1165.43,7.01,18.841,48.2,8.75,0.0
2013-12-31,0.225142976283682,2.3,26.8,11.63,13.4,55818.5389718017,1144.7,7.05,17.796,50.1,8.25,0.0
2014-03-31,0.2213918286772149,2.5,26.925,10.29,13.4,55781.41445253151,1108.04,7.1,17.27533333,52.4,8.25,0.0
2014-06-30,0.2138999814178153,2.7,27.05,5.73,13.3,55744.2899332613,1097.87,7.12,17.15333333,54.1,8.25,0.0
2014-09-30,0.2354114861400009,3.5,27.175,11.17,13.1,55707.1654139911,1214.34,7.15,16.815,56.3,9.25,0.0
2014-12-31,0.2302839178522197,3.2,27.3,10.33,12.9,55670.0408947209,1214.57,7.161085714285713,16.04133333,58.7,9.25,0.0
2015-03-31,0.2250620414726444,4.4,27.425,10.55,12.8,56029.50732050965,1108.35,7.504862500000002,15.392,60.1,8.75,0.0
2015-06-30,0.2478297339015339,4.5,27.55,11.77,12.7,56388.9737462984,1146.24,7.616681666666667,20.05566667,62.5,8.75,0.0
2015-09-30,0.2570086434438802,4.4,27.675,8.49,12.8,56748.44017208715,1289.01,7.816847413793101,17.65566667,64.8,8.75,0.0
2015-12-31,0.2635362645431719,4.3,27.8,10.57,12.8,57107.9065978759,1254.37,7.879738596491229,16.42766667,66.2,9.25,0.0
2016-03-31,0.2771033654069415,4.2,28.3875,9.38,12.7,57399.32853845436,1187.16,8.083588392857147,16.52433333,68.5,10.75,0.0
2016-06-30,0.3021429974564349,4.3,28.975,12.13,12.5,57690.7504790328,1196.56,8.868332499999996,17.35933333,72.3,11.75,0.0
2016-09-30,0.3293773220314866,4.4,29.5625,14.43,12.6,57982.17241961125,1296.0,8.868818644067797,17.231,75.1,11.75,0.0
2016-12-31,0.3912846415367653,4.3,30.15,18.7,12.4,58273.5943601897,1307.3,14.63266721311476,22.12133333,88.2,14.75,1.0
2017-03-31,0.4331924833191682,4.2,30.7375,29.73,12.0,58414.66002148968,1265.7,17.7741,27.14366667,105.4,14.75,1.0
2017-06-30,0.4722842046683053,4.1,31.325,30.27,12.0,58555.72568278965,1331.4,18.08320701754386,30.35733333,112.8,16.75,0.0
2017-09-30,0.5108985135005665,4.2,31.9125,32.1,11.9,58696.79134408962,1320.5,17.78695583333333,36.238,118.2,18.75,0.0
2017-12-31,0.5076107452058674,4.3,32.5,26.2,11.3,58837.8570053896,1351.8,17.700540625,36.81533333,122.5,18.75,0.0
2018-03-31,0.4794412945880972,5.4,32.15,14.87,10.6,59225.16607200183,1292.3,17.66672868852459,41.115,124.6,17.75,1.0
2018-06-30,0.4649466301886823,5.3,31.8,12.93,9.9,59612.47513861405,1273.9,17.79685762711864,44.14266667,130.2,16.75,0.0
2018-09-30,0.475112686236118,5.2,31.45,14.53,10.0,59999.78420522627,1341.2,17.8930813559322,44.39766667,135.4,16.75,0.0
2018-12-31,0.4557579089315966,5.3,31.1,15.03,8.9,60387.0932718385,1363.1,17.90877812500001,43.855,140.1,16.75,0.0
2019-03-31,0.4268704018729065,5.6,30.75,13.7,8.1,60728.90191348355,1270.1,17.60028852459017,43.59633333,155.8,15.75,0.0
2019-06-30,0.4773645562882232,5.5,30.4,12.12,7.5,61070.7105551286,1260.3,17.01971491228071,44.32466667,457.2,15.75,1.0
2019-09-30,0.4177987586463261,5.6,30.05,6.96,7.8,61412.51919677365,1316.0,16.52000409836066,45.08166667,240.1,13.25,0.0
2019-12-31,0.4147845127670062,5.4,29.7,2.28,8.0,61754.3278384187,1400.5,16.1421703125,45.34033333,245.85,12.25,0.0
2020-03-31,0.3727628180256579,5.0,30.175,5.85,7.7,62106.80375288475,1349.8,15.75610806451612,43.69166667,115.3,9.25,0.0
2020-06-30,0.3937766998481869,-1.7,30.65,5.4,9.6,62459.2796673508,1416.8,15.90844310344828,37.07233333,92.6,9.25,1.0
2020-09-30,0.3694683807258902,0.7,31.125,3.75,7.3,62811.75558181685,1450.2,15.88961206896552,38.331,100.2,8.75,1.0
2020-12-31,0.3896190199656117,2.0,31.6,5.21,7.2,63164.2314962829,1498.7,15.686325,39.50166667,108.5,8.25,0.0
2021-03-31,0.4022252898308862,2.9,32.075,4.4,7.4,63445.78033917377,1432.3,15.69452177419355,40.213,112.3,8.25,0.0
2021-06-30,0.4260349647633557,7.7,32.55,4.62,7.3,63727.32918206465,1501.3,15.67546101694915,40.465,118.5,8.25,1.0
2021-09-30,0.4612995377546884,9.8,33.025,5.9,7.5,64008.87802495553,1674.6,15.6993975,40.702,122.4,8.25,1.0
2021-12-31,0.4875549930721269,3.3,33.5,5.9,7.4,64290.4268678464,1624.3,15.70955000000001,40.89766667,252.6,8.25,1.0
2022-03-31,0.5195890556532267,5.4,33.5,8.82,7.2,65051.6711475039,1468.3,16.08319365079365,39.68533333,384.6,9.25,1.0
2022-06-30,0.5078161617693324,3.3,33.5,13.23,7.2,65812.91542716141,1482.1,18.5248298245614,35.333,245.85,11.25,0.0
2022-09-30,0.5410964584184,4.4,33.5,14.37,7.4,66574.1597068189,1735.9,19.15969333333334,33.166,252.1,11.25,0.0
2022-12-31,0.5814523361179058,3.9,33.5,18.7,7.2,67335.4039864764,1617.5,23.12604140625,33.64866667,260.4,16.25,1.0
2023-03-31,0.6268114545246346,3.9,33.5,30.1,7.1,67486.27386074065,1595.9,30.05633225806451,34.341,268.2,18.25,1.0
2023-06-30,0.6284108480146209,2.9,33.5,32.97,7.0,67637.14373500491,1523.3,30.88823636363639,34.67966667,275.5,18.25,0.0
2023-09-30,0.6610820120309181,2.65,33.5,37.27,7.1,67788.01360926915,1715.34,30.89042000000004,34.92566667,282.8,19.25,0.0
2023-12-31,0.6707687669807113,2.3,33.5,34.67,6.9,67938.8834835334,1854.7,30.88985923076928,35.165,301.95,19.25,1.0
2024-03-31,0.7149699810926782,2.22,33.5,32.93,6.7,67750.28945859127,1766.1,35.80664354838714,36.974,310.2,27.25,1.0
2024-06-30,0.7282593394895267,2.4,33.5,29.37,6.5,67561.69543364915,1655.66,47.57430673076923,44.52266667,248.0,27.25,1.0
2024-09-30,0.7497910887886787,3.53,33.5,26.03,6.7,67373.10140870702,1920.75,48.53954206349206,46.60766667,224.3,27.25,0.0
2024-12-31,0.7474541074063761,4.3,33.5,25.33,6.4,67184.5073837649,1890.9,49.54313846153845,47.001,245.0,27.25,0.0
2025-03-31,0.7155438861220091,4.77,33.5,16.77,6.3,67184.5073837649,1861.9,50.50870250000001,47.472,255.0,23.25,1.0
2025-06-30,0.7264298797891455,5.03,33.5,15.2,6.1,67184.5073837649,1962.6,50.4174281818182,48.46333333,265.0,24.0,0.0
